iter	Passed	Remaining
439	1282	1632
440	1285	1629
441	1287	1625
442	1290	1623
443	1292	1619
444	1294	1615
445	1298	1612
446	1300	1608
447	1301	1604
448	1303	1600
449	1306	1596
450	1308	1592
451	1309	1588
452	1311	1584
453	1314	1581
454	1316	1577
455	1318	1573
456	1321	1569
457	1325	1568
458	1328	1565
459	1331	1562
460	1336	1562
461	1339	1559
462	1341	1556
463	1344	1552
464	1345	1548
465	1347	1543
466	1348	1539
467	1351	1536
468	1353	1532
469	1356	1529
470	1358	1525
471	1360	1521
472	1362	1518
473	1365	1515
474	1368	1512
475	1369	1508
476	1372	1504
477	1374	1500
478	1376	1497
479	1378	1493
480	1381	1490
481	1383	1486
482	1385	1483
483	1387	1479
484	1389	1475
485	1392	1472
486	1396	1471
487	1398	1466
488	1400	1463
489	1401	1459
490	1403	1455
491	1406	1452
492	1408	1448
493	1410	1444
494	1412	1441
495	1414	1437
496	1416	1433
497	1417	1429
498	1419	1425
499	1422	1422
500	1426	1420
501	1427	1416
502	1429	1412
503	1431	1408
504	1433	1404
505	1435	1401
506	1438	1399
507	1441	1396
508	1443	1392
509	1445	1388
510	1447	1385
511	1449	1381
512	1451	1378
513	1455	1375
514	1457	1372
515	1459	1369
516	1461	1365
517	1463	1362
518	1465	1358
519	1468	1355
520	1470	1352
521	1473	1348
522	1475	1345
523	1477	1341
524	1479	1338
525	1481	1335
526	1483	1331
527	1486	1328
528	1488	1325
529	1490	1322
530	1493	1318
531	1495	1315
532	1498	1312
533	1500	1309
534	1503	1306
535	1505	1303
536	1507	1299
537	1510	1296
538	1512	1293
539	1515	1291
540	1518	1288
541	1520	1285
542	1522	1281
543	1526	1279
544	1528	1276
545	1532	1273
546	1533	1270
547	1535	1266
548	1537	1263
549	1539	1259
550	1541	1256
551	1543	1252
552	1545	1249
553	1547	1246
554	1549	1242
555	1551	1239
556	1553	1235
557	1555	1231
558	1557	1228
559	1559	1225
560	1561	1222
561	1564	1219
562	1565	1215
563	1567	1211
564	1568	1207
565	1571	1204
566	1574	1202
567	1578	1200
568	1580	1197
569	1583	1194
570	1585	1191
571	1587	1188
572	1589	1184
573	1593	1182
574	1595	1179
575	1597	1176
576	1599	1172
577	1601	1169
578	1602	1165
579	1605	1162
580	1607	1159
581	1610	1156
582	1614	1154
583	1617	1152
584	1626	1153
585	1633	1154
586	1639	1153
587	1642	1150
588	1645	1148
589	1650	1146
590	1656	1146
591	1659	1143
592	1662	1140
593	1670	1141
594	1673	1139
595	1678	1138
596	1681	1135
597	1687	1134
598	1692	1132
599	1693	1129
600	1695	1125
601	1698	1122
602	1709	1125
603	1721	1128
604	1724	1126
605	1728	1123
606	1751	1134
607	1759	1134
608	1767	1135
609	1771	1132
610	1776	1131
611	1787	1133
612	1793	1132
613	1796	1129
614	1800	1127
615	1804	1125
616	1809	1123
617	1814	1121
618	1818	1119
619	1825	1118
620	1828	1115
621	1832	1113
622	1836	1111
623	1838	1107
624	1842	1105
625	1845	1102
626	1846	1098
627	1849	1095
628	1852	1092
629	1854	1089
630	1856	1085
631	1858	1082
632	1861	1079
633	1865	1076
634	1868	1073
635	1871	1071
636	1873	1067
637	1875	1064
638	1877	1060
639	1879	1057
640	1883	1054
641	1885	1051
642	1887	1047
643	1889	1044
644	1891	1041
645	1893	1037
646	1896	1034
647	1899	1031
648	1901	1028
649	1904	1025
650	1906	1022
651	1909	1018
652	1913	1016
653	1915	1013
654	1918	1010
655	1920	1007
656	1922	1003
657	1924	1000
658	1927	997
659	1929	994
660	1932	990
661	1934	987
662	1936	984
663	1938	980
664	1940	977
665	1943	974
666	1946	971
667	1948	968
668	1950	965
669	1952	961
670	1955	958
671	1958	956
672	1961	953
673	1963	949
674	1966	946
675	1968	943
676	1971	940
677	1974	937
678	1976	934
679	1977	930
680	1979	927
681	1980	923
682	1982	920
683	1983	916
684	1986	913
685	1990	911
686	1993	908
687	1995	904
688	1997	901
689	1999	898
690	2000	894
691	2003	891
692	2005	888
693	2008	885
694	2010	882
695	2011	878
696	2013	875
697	2015	871
698	2018	869
699	2021	866
700	2023	862
701	2025	859
702	2026	856
703	2028	852
704	2030	849
705	2031	845
706	2034	842
707	2035	839
708	2037	836
709	2039	832
710	2041	829
711	2043	826
712	2046	823
713	2049	820
714	2051	817
715	2052	814
716	2054	811
717	2057	807
718	2059	804
719	2062	801
720	2064	798
721	2066	795
722	2070	793
723	2072	790
724	2075	787
725	2078	784
726	2079	781
727	2081	777
728	2082	774
729	2084	770
730	2086	767
731	2088	764
732	2090	761
733	2092	758
734	2094	755
735	2096	751
736	2098	748
737	2100	745
738	2102	742
739	2105	739
740	2107	736
741	2109	733
742	2112	730
743	2114	727
744	2116	724
745	2119	721
746	2123	719
747	2125	716
748	2127	713
749	2130	710
750	2132	707
751	2134	704
752	2137	701
753	2139	697
754	2141	694
755	2143	691
756	2145	688
757	2147	685
758	2150	682
759	2152	679
760	2154	676
761	2157	673
762	2160	671
763	2162	668
764	2164	664
765	2166	661
766	2168	658
767	2170	655
768	2172	652
769	2174	649
770	2176	646
771	2177	643
772	2179	640
773	2181	636
774	2182	633
775	2184	630
776	2186	627
777	2188	624
778	2190	621
779	2192	618
780	2193	615
781	2196	612
782	2198	609
783	2200	606
784	2202	603
785	2204	600
786	2206	597
787	2208	594
788	2209	590
789	2212	588
790	2214	585
791	2217	582
792	2219	579
793	2221	576
794	2222	573
795	2224	570
796	2227	567
797	2229	564
798	2232	561
799	2235	558
800	2237	555
801	2239	552
802	2240	549
803	2243	546
804	2244	543
805	2247	540
806	2250	538
807	2251	535
808	2253	532
809	2255	529
810	2257	526
811	2259	523
812	2261	520
813	2263	517
814	2264	514
815	2266	511
816	2268	508
817	2269	505
818	2271	502
819	2273	499
820	2275	496
821	2277	493
822	2281	490
823	2284	487
824	2287	485
825	2289	482
826	2291	479
827	2293	476
828	2295	473
829	2296	470
830	2298	467
831	2300	464
832	2302	461
833	2305	458
834	2306	455
835	2308	452
836	2311	450
837	2314	447
838	2316	444
839	2319	441
840	2321	438
841	2323	435
842	2326	433
843	2328	430
844	2330	427
845	2334	424
846	2336	422
847	2339	419
848	2341	416
849	2344	413
850	2347	410
851	2349	408
852	2351	405
853	2353	402
854	2355	399
855	2358	396
856	2361	393
857	2364	391
858	2366	388
859	2368	385
860	2370	382
861	2375	380
862	2378	377
863	2381	374
864	2383	372
865	2385	369
866	2388	366
867	2389	363
868	2394	360
869	2396	358
870	2398	355
871	2400	352
872	2402	349
873	2404	346
874	2407	343
875	2410	341
876	2413	338
877	2415	335
878	2418	332
879	2421	330
880	2424	327
881	2426	324
882	2428	321
